B1950 Name,ID,Epochs,Flux Density (mJy),Distance (mas),Distance (pc),P.A. (deg.),Velocity P.A. (deg.)_val,Velocity P.A. (deg.)_err,Motion Vector Offset (deg.)_val,Motion Vector Offset (deg.)_err,Speed (muas/y)_val,Speed (muas/y)_err,Speed (c)_val,Speed (c)_err,Perp. Accel  (muas/y2)_val,Perp. Accel  (muas/y2)_err,Par. Accel  (muas/y2)_val,Par. Accel  (muas/y2)_err,Ejection Epoch_val,Ejection Epoch_err,Middle epoch,RA_m,DEC_m,Ref.
0003+380,1,8,5,4.23,15.36,120.7,96.0,17,24.0,17,158.0,43,2.3,0.63,,,,,,,2008.81,3691.0,-2169.0,XVII
0003+380,2,6,19,1.78,6.45,112.6,120.1,3.1,7.5,3.1,317.0,25,4.61,0.36,,,,,,,2007.71,1662.0,-694.0,XVII
0003+380,4,5,16,1.25,4.53,114.9,205.0,14,90.0,14b,39.0,10,0.57,0.15,,,,,,,2009.54,1130.0,-527.0,XVII
0003+380,5,8,40,0.75,2.71,117.5,21.0,89,96.0,89,2.7,7.6,0.04,0.11,,,,,,,2010.26,663.0,-342.0,XVII
0003+380,6,10,98,0.39,1.43,115.4,335.0,46,141.0,46,12.7,8.4d,0.19,0.12,,,,,,,2009.9,350.0,-158.0,XVII
0003-066,2,5,222,1.05,5.12,322.9,226.3,4.9,96.6,5.0b,191.0,15,4.09,0.33,,,,,,,1997.8,-585.9,883.0,XVII
0003-066,3,9,119,2.82,13.73,296.9,284.8,4.7,12.1,4.8,250.0,39,5.36,0.83,,,,,,,1999.33,-2375.0,1237.0,XVII
0003-066,4a,26,120,6.61,32.23,285.6,277.3,3.8,8.3,3.8,50.9,5.3,1.09,0.11,11.4,2.1,-26.1,2.5,,,2004.83,-6582.0,1693.0,XVII
0003-066,5a,14,1031,0.7,3.4,10.7,353.9,3.0,16.8,3.1,87.2,4.4,1.868,0.093,-26.3,4.9,4.5,4.8,,,2004.37,199.0,630.0,XVII
0003-066,6a,10,97,1.01,4.92,290.2,211.3,9.6,78.9,9.6,54.0,11,1.16,0.24,54.0,13.0,-37.0,18.0,,,2003.78,-901.0,268.0,XVII
