B1950_Name,RA_Dec_J2000,Source_URL
0003+380,"0h5m57.175s+38d20'15.149""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0003+380.shtml
0003-066,"0h6m13.893s-6d23'35.335""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0003-066.shtml
0006+061,"0h9m3.932s+6d28'21.240""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0006+061.shtml
0007+106,"0h10m31.006s+10d58'29.504""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0007+106.shtml
0010+405,"0h13m31.130s+40d51'37.144""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0010+405.shtml
0011+189,"0h13m56.376s+19d10'41.916""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0011+189.shtml
0012+610,"0h14m48.792s+61d17'43.543""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0012+610.shtml
0014+813,"0h17m8.475s+81d35'8.136""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0014+813.shtml
0015-054,"0h17m35.817s-5d12'41.768""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0015-054.shtml
0016+731,"0h19m45.786s+73d27'30.018""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0016+731.shtml
0019+058,"0h22m32.441s+6d8'4.269""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0019+058.shtml
0027+056,"0h29m45.896s+5d54'40.712""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0027+056.shtml
0035+413,"0h38m24.844s+41d37'6.000""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0035+413.shtml
0041+341,"0h43m48.843s+34d26'26.093""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0041+341.shtml
0044+566,"0h47m0.429s+56d57'42.395""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0044+566.shtml
0048-071,"0h51m8.210s-6d50'2.229""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0048-071.shtml
0055+300,"0h57m48.883s+30d21'8.812""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0055+300.shtml
0059+581,"1h2m45.762s+58d24'11.137""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0059+581.shtml
0106+013,"1h8m38.771s+1d35'0.317""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0106+013.shtml
0106+612,"1h9m46.344s+61d33'30.456""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0106+612.shtml
0106+678,"1h10m12.873s+68d5'41.217""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0106+678.shtml
0109+224,"1h12m5.825s+22d44'38.786""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0109+224.shtml
0109+351,"1h12m12.944s+35d22'19.337""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0109+351.shtml
0110+318,"1h12m50.333s+32d8'17.433""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0110+318.shtml
0111+021,"1h13m43.145s+2d22'17.316""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0111+021.shtml
0112-017,"1h15m17.100s-1d27'4.577""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0112-017.shtml
0113-118,"1h16m12.522s-11d36'15.434""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0113-118.shtml
0116-219,"1h18m57.262s-21d41'30.140""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0116-219.shtml
0118-272,"1h20m31.663s-27d1'24.652""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0118-272.shtml
0119+115,"1h21m41.595s+11d49'50.413""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0119+115.shtml
0122-003,"1h25m28.844s-0d5'55.932""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0122-003.shtml
0128+554,"1h31m13.825s+55d45'12.981""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0128+554.shtml
0130-171,"1h32m43.487s-16d54'48.522""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0130-171.shtml
0133+476,"1h36m58.595s+47d51'29.100""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0133+476.shtml
0134+579,"1h37m50.476s+58d14'11.323""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0134+579.shtml
0136+176,"1h39m41.979s+17d53'7.550""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0136+176.shtml
0138-097,"1h41m25.832s-9d28'43.674""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0138-097.shtml
0141+268,"1h44m33.554s+27d5'3.118""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0141+268.shtml
0142-278,"1h45m3.395s-27d33'34.328""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0142-278.shtml
0149+218,"1h52m18.059s+22d7'7.700""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0149+218.shtml
0149+710,"1h53m25.851s+71d15'6.464""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0149+710.shtml
0151+081,"1h54m2.770s+8d23'51.068""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0151+081.shtml
0153+744,"1h57m34.965s+74d42'43.229""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0153+744.shtml
0159+723,"2h3m33.385s+72d32'53.667""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0159+723.shtml
0200+304,"2h3m44.271s+30d42'37.836""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0200+304.shtml
0202+149,"2h4m50.414s+15d14'11.044""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0202+149.shtml
0202+319,"2h5m4.925s+32d12'30.096""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0202+319.shtml
0202-172,"2h4m57.674s-17d1'19.841""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0202-172.shtml
0203-120,"2h6m26.085s-11d50'39.725""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0203-120.shtml
0208+106,"2h11m13.177s+10d51'34.799""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0208+106.shtml
0210+515,"2h14m17.934s+51d44'51.948""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0210+515.shtml
0212+735,"2h17m30.813s+73d49'32.622""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0212+735.shtml
0214+083,"2h17m17.125s+8d37'3.898""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0214+083.shtml
0215+015,"2h17m48.955s+1d44'49.699""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0215+015.shtml
0219+428,"2h22m39.611s+43d2'7.799""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0219+428.shtml
0224+671,"2h28m50.051s+67d21'3.029""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0224+671.shtml
0229+131,"2h31m45.894s+13d22'54.716""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0229+131.shtml
0234+285,"2h37m52.406s+28d48'8.990""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0234+285.shtml
0238+711,"2h43m30.891s+71d20'17.904""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0238+711.shtml
0238-084,"2h41m4.799s-8d15'20.752""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0238-084.shtml
0239+843,"2h49m48.333s+84d35'57.031""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0239+843.shtml
0241+622,"2h44m57.697s+62d28'6.516""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0241+622.shtml
0248+430,"2h51m34.537s+43d15'15.829""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0248+430.shtml
0250+320,"2h53m33.650s+32d17'20.892""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0250+320.shtml
0250-225,"2h52m47.954s-22d19'25.466""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0250-225.shtml
0256+075,"2h59m27.077s+7d47'39.643""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0256+075.shtml
0300+470,"3h3m35.242s+47d16'16.275""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0300+470.shtml
0301-243,"3h3m26.503s-24d7'11.427""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0301-243.shtml
0303+490,"3h7m27.035s+49d15'9.753""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0303+490.shtml
0305+039,"3h8m26.224s+4d6'39.301""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0305+039.shtml
0306+102,"3h9m3.623s+10d29'16.341""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0306+102.shtml
0309+411,"3h13m1.962s+41d20'1.183""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0309+411.shtml
0313+411,"3h16m42.978s+41d19'29.616""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0313+411.shtml
0316+413,"3h19m48.160s+41d30'42.106""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0316+413.shtml
0321+340,"3h24m41.161s+34d10'45.858""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0321+340.shtml
0329+654,"3h33m56.738s+65d36'56.185""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0329+654.shtml
0333+321,"3h36m30.108s+32d18'29.342""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0333+321.shtml
0336-019,"3h39m30.938s-1d46'35.804""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0336-019.shtml
0346+800,"3h54m46.126s+80d9'28.847""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0346+800.shtml
0347-211,"3h49m57.827s-21d2'47.742""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0347-211.shtml
0355+508,"3h59m29.747s+50d57'50.162""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0355+508.shtml
0400+258,"4h3m5.586s+26d0'1.503""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0400+258.shtml
0403-132,"4h5m34.003s-13d8'13.691""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0403-132.shtml
0415+379,"4h18m21.277s+38d1'35.800""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0415+379.shtml
0420+417,"4h23m56.010s+41d50'2.713""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0420+417.shtml
0420-014,"4h23m15.801s-1d20'33.066""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0420-014.shtml
0422+004,"4h24m46.842s+0d36'6.329""",https://www.cv.nrao.edu/MOJAVE/sourcepages/0422+004.shtml
